332770;1530750;1549550;
290200;1655540;1299770;
190590;1434120;1447910;
314060;1517370;1267980;
200940;1521850;1955030;
222350;1674410;1476050;
307930;1993290;1456340;
279670;1758390;1412440;
337210;1490790;1899640;
267700;1502690;1992360;
389040;4434880;1527730;
265740;1637350;1259530;
185100;1236640;1058870;
231920;1141400;1153620;
165160;1320950;1614670;
339430;1365930;1149570;
208770;1001260;968080;
202090;1123100;1091500;
331120;1585420;1381880;
221870;1822470;1646540;
341150;1600230;1450740;
247750;1606230;900890;
164150;1062610;958450;
179270;1061820;1178740;
163090;893540;972750;
181660;870710;969060;
198320;1490900;1242220;
167830;1046770;961540;
159850;917320;891980;
160570;924980;1081540;
