18420;98750;91900;
17530;91020;86570;
14640;101560;87300;
14580;117460;94110;
13440;93800;87280;
13410;89270;88810;
13450;90110;117620;
17730;130510;100070;
13260;90950;93680;
13290;125590;157820;
22480;98970;90380;
18550;102990;91440;
13130;173010;128520;
27570;162960;119140;
13070;92900;131880;
32320;113850;133520;
18050;130760;101750;
13050;110710;165110;
20360;146510;137030;
19350;107650;128010;
18240;134820;129770;
13340;97840;98040;
12770;93100;176780;
18130;134940;133700;
16710;125900;134160;
17750;143510;129930;
12620;105210;101680;
12570;93430;154030;
16340;124610;123920;
17870;130980;132390;
