179640;1066070;988200;
244410;1296150;1016030;
136260;1047700;1033460;
141020;928800;978430;
146180;1321770;978210;
136670;1252110;971350;
134080;944340;904870;
135810;964070;942560;
136210;940250;936360;
135660;970650;1045690;
136030;1015760;1061240;
204980;974300;949940;
146420;999090;912700;
139510;959010;924210;
135610;1009210;942390;
135940;979580;960480;
208010;975630;928610;
135370;944050;928500;
135350;945540;912830;
135380;1109460;926720;
135430;943220;934490;
136610;1222890;919840;
142770;1001150;923620;
138210;983940;926040;
135300;967110;980110;
139930;1021950;926670;
134980;939620;1067960;
148910;1246530;1020030;
135310;997100;932370;
135040;949510;971130;
