186610;1295930;1391710;
232090;1407610;1361380;
192160;1509750;1271840;
179830;1221560;1326530;
174460;1480990;1430790;
213110;1380560;1233240;
255620;1265010;1104080;
222020;1265310;1250140;
140980;1297990;1117640;
173970;1387830;1181950;
175350;1090550;1116000;
245470;1181500;1158670;
175270;1351080;1293770;
139130;1502730;1621660;
244170;2218870;2048280;
400430;6252680;2287630;
190810;1928870;1661310;
364800;2678810;1613030;
230230;1605720;1451650;
221490;4921820;3037150;
420150;2444690;2419230;
558380;3323890;3974180;
210670;1330820;1222750;
158840;1261870;1434170;
218870;1398450;1622570;
277650;1354440;1894870;
478810;2759820;1779590;
204480;1420110;1157190;
182080;1320310;919210;
156090;1267790;1292210;
