15700;91730;90850;
15800;83500;76320;
15860;78940;77240;
15850;83770;85470;
22690;128120;83100;
20860;94350;91330;
19580;84440;114930;
17720;124640;88840;
15920;80330;81600;
16140;79290;79600;
15760;80420;100640;
24380;114470;92630;
18690;84830;80390;
15470;104710;122290;
21610;104750;83660;
15790;80780;83690;
16110;95660;81140;
15710;99710;134800;
21280;101610;82150;
15710;103070;95280;
21560;199620;130940;
23220;90880;85750;
15770;84290;84300;
15710;125290;91970;
16010;82590;86240;
15780;82500;84100;
15730;82460;120300;
23990;110840;88160;
15820;84160;89130;
16140;85440;89610;
