40980;195720;186190;
19640;218670;202710;
24710;179340;161390;
13570;230470;178170;
24960;215750;279440;
18990;207040;131770;
13770;267550;219010;
19280;222170;305250;
20560;212760;212350;
19800;321860;280010;
19370;424600;198740;
16320;316760;211420;
14220;207800;271970;
15940;195610;226750;
19910;273190;249960;
20220;138370;194060;
28980;135370;128720;
15870;118380;114000;
15880;211190;150760;
19040;150760;142910;
18700;193520;103980;
15200;118110;100220;
12840;96760;190680;
40140;148710;122210;
15490;117780;127560;
15480;174980;156890;
22930;129750;132950;
15540;213290;113740;
15330;129260;125060;
12560;117690;212130;
